V0 Latitude,V0 Longitude,V1 Latitude,V1 Longitude,V2 Latitude,V2 Longitude,V3 Latitude,V3 Longitude
36.5952,-110.442,30.9408,-110.291,31.1231,-109.417,36.8045,-109.515
-59.1448,-108.255,-64.7446,-109.606,-65.1277,-107.92,-59.5007,-106.834
-79.1297,76.5326,-84.7642,77.4013,-85.0145,86.3538,-79.4209,80.7598
-70.8267,76.7102,-76.4649,76.2946,-76.7866,79.6329,-71.1426,79.098
50.2342,-99.2687,44.5861,-99.0413,44.8293,-97.974,50.4992,-98.0887
-81.7461,-115.766,-87.659,-129.809,-87.0609,-117.312,-82.2027,-110.857
75.3738,69.1096,69.8022,72.0108,70.2036,74.1469,75.8117,71.9463
30.865,-102.928,25.1966,-102.832,25.3464,-101.973,31.0439,-102.028
-51.3487,75.1826,-57.0031,74.8431,-57.313,76.2986,-51.6393,76.4669
89.3939,77.0776,83.6405,74.93,83.4912,84.2147,88.7991,137.64
-61.0843,75.7132,-66.7284,75.2842,-67.0557,77.2621,-61.3972,77.3458
-6.7399,-108.81,-12.4154,-108.984,-12.5213,-108.19,-6.8114,-108.026
80.9018,62.1911,75.3737,67.5957,75.7931,70.4641,81.3795,66.5571
-59.2666,68.9513,-64.9159,68.449,-65.2606,70.3435,-59.5942,70.5416
71.1768,71.6213,65.5876,73.6894,65.9755,75.4921,71.5947,73.8767
89.2669,-49.3282,83.8728,-94.1859,84.0737,-86.6359,88.677,-15.7223
-27.2175,-104.866,-32.8727,-105.26,-33.1087,-104.353,-27.4233,-104.002
-14.5518,-109.985,-20.2197,-110.229,-20.3786,-109.41,-14.6772,-109.187
-67.7256,82.6878,-73.2401,87.5134,-73.1482,91.232,-67.1974,84.5161
-23.0995,-107.986,-28.7587,-108.323,-28.9711,-107.453,-23.2805,-107.151
59.7903,68.3806,54.1713,69.4435,54.5261,70.7549,60.1693,69.8769
20.8912,-101.99,15.2138,-101.966,15.3004,-101.151,21.01,-101.152
-74.3539,78.5005,-79.9915,78.3144,-80.2952,82.8509,-74.6609,81.4152
53.4501,-105.757,47.8083,-105.477,48.0687,-104.357,53.7315,-104.501
-86.9327,-135.846,-88.3082,99.4076,-88.1943,126.67,-86.4591,-123.991
-62.8609,74.7318,-68.5035,74.2738,-68.8345,76.4062,-63.1783,76.4615
31.5101,-104.006,25.8429,-103.903,25.9967,-103.041,31.6929,-103.101
80.7331,-107.829,75.1104,-107.566,75.4101,-104.676,81.032,-103.161
86.3022,-100.793,80.6815,-103.248,80.9506,-98.4746,86.4907,-88.2074
63.6967,-110.841,57.9266,-110.516,58.2101,-109.149,63.4838,-109.162
-77.6367,81.7422,-83.2733,82.3469,-83.5365,89.234,-77.926,85.4501
36.4022,-103.927,30.7402,-103.789,30.9217,-102.892,36.611,-102.975
26.7839,-110.571,21.1191,-110.492,21.2445,-109.676,26.9397,-109.725
-82.3604,87.9702,-87.9552,98.1379,-87.9195,121.455,-82.5935,94.1133
-68.775,-114.479,-74.3509,-117.03,-74.783,-114.373,-69.1704,-112.466
56.9673,-104.546,51.3278,-104.241,51.5999,-103.037,57.259,-103.173
-27.1502,-111.256,-32.8028,-111.639,-33.0398,-110.74,-27.3565,-110.402
-32.8957,-108.187,-38.5407,-108.657,-38.8083,-107.698,-33.1344,-107.286
1.5119,-103.329,-4.1706,-103.444,-4.2183,-102.652,1.4989,-102.539
66.9062,-104.171,61.1383,-104.328,61.1311,-102.655,66.3697,-102.658
43.1929,68.4461,37.5393,69.0125,37.8239,70.0304,43.5052,69.5347
-84.7957,-143.534,-87.3178,134.549,-87.6554,152.994,-85.448,-133.807
3.1405,-105.463,-2.5412,-105.562,-2.5777,-104.775,3.1389,-104.675
-51.6874,-105.678,-57.3017,-106.632,-57.6551,-105.279,-52.0147,-104.487
-65.379,-107.832,-70.9632,-109.836,-71.372,-107.651,-65.7564,-106.094
-64.6103,77.1079,-70.2521,76.6724,-70.579,78.9796,-64.9251,78.9413
42.2896,-104.914,36.6349,-104.729,36.8472,-103.777,42.5272,-103.888
-57.204,-104.969,-62.8093,-106.206,-63.1848,-104.617,-57.5525,-103.612
25.879,-107.343,20.2089,-107.274,20.3289,-106.449,26.03,-106.488
89.1157,-12.05,85.5296,-97.2941,85.6843,-86.8777,89.0358,40.0602
-13.1692,-103.54,-18.8423,-103.78,-18.9913,-102.956,-13.2849,-102.735
82.6862,69.0878,76.913,69.4316,77.3552,73.4412,82.6593,77.1614
69.5132,66.9136,63.9185,68.7072,64.3032,70.4046,69.9252,68.9967
55.2572,-106.804,49.6184,-106.505,49.8853,-105.351,55.5445,-105.499
69.6451,-98.3062,64.0118,-97.9596,64.3061,-96.2438,69.9521,-96.1487
88.7739,-51.1896,84.9883,61.4827,85.5026,69.25,89.4073,-15.5876
73.0201,-104.701,67.3911,-104.277,67.696,-102.327,73.3367,-102.133
48.5562,-105.879,42.9093,-105.642,43.1504,-104.609,48.8203,-104.744
57.0342,74.9397,51.409,75.9036,51.7488,77.1428,57.3991,76.3358
32.5036,-105.079,26.838,-104.967,26.998,-104.1,32.6924,-104.168
4.6635,-111.89,-1.0127,-111.969,-1.0377,-111.199,4.6734,-111.119
-26.338,-109.112,-31.9924,-109.487,-32.2241,-108.594,-26.5391,-108.26
78.5567,-107.261,72.9328,-106.873,73.2366,-104.339,78.8656,-103.484
88.9752,-54.8215,84.8659,-101.268,85.0559,-92.3862,89.5057,-4.3654
84.2996,-93.6787,78.6716,-95.0111,78.9419,-91.0721,84.5299,-85.6562
81.18,68.7146,75.6628,74.5906,76.0805,77.5034,81.6612,73.1828
-71.7964,-111.518,-76.8558,-117.936,-76.9807,-113.451,-71.3473,-109.173
-34.6754,-107.169,-40.3185,-107.669,-40.5949,-106.686,-34.9235,-106.249
14.4769,-111.785,8.8036,-111.792,8.8477,-111.016,14.5545,-110.997
-83.5394,74.819,-89.1102,95.6661,-88.7678,139.204,-83.7857,82.2285
80.2058,65.8186,74.6722,70.8293,75.0898,73.5814,80.6789,69.9086
88.2929,-93.0915,82.7002,-102.928,82.9437,-96.7829,88.256,-66.0037
45.3424,-99.3944,39.6889,-99.2028,39.9118,-98.2091,45.5889,-98.3145
-81.6972,-108.884,-87.5932,-123.919,-87.0027,-111.396,-82.1583,-103.976
71.9418,75.2648,66.0129,74.6879,66.4192,76.4924,71.9068,78.1145
-22.9577,-103.711,-28.6192,-104.054,-28.8301,-103.178,-23.1372,-102.87
-39.0471,-110.469,-44.6819,-111.044,-44.9817,-110,-39.3191,-109.505
-48.2628,73.9612,-53.9209,73.642,-54.2242,74.9986,-48.5451,75.1761
69.9944,-101.602,64.3619,-101.224,64.6611,-99.4853,70.3066,-99.4058
-53.1265,74.16,-58.7785,73.7938,-59.095,75.3209,-53.4243,75.495
-32.9131,-100.72,-38.5624,-101.201,-38.8291,-100.227,-33.1509,-99.8045
-86.9767,-139.88,-88.3299,91.2902,-88.2568,119.328,-86.4932,-128.055
-43.3998,79.2577,-49.0652,79.0078,-49.3452,80.2379,-43.6569,80.3795
-42.5326,-104.222,-48.1646,-104.888,-48.4787,-103.773,-42.8198,-103.202
-72.0209,-105.882,-77.5744,-109.549,-78.0223,-106.28,-72.4228,-103.539
87.9221,47.5244,82.0338,64.4246,82.4942,69.5114,87.3494,61.9396
49.172,-109.14,43.5302,-108.891,43.773,-107.866,49.4374,-108.012
-48.3046,81.6028,-53.9656,81.319,-54.2602,82.6791,-48.5786,82.8185
88.2786,41.5551,86.8443,-89.6769,86.8887,-74.6929,87.747,59.8413
72.3502,65.1709,66.7652,67.3456,67.157,69.216,72.7716,67.5423
37.3966,-105.001,31.7365,-104.854,31.9238,-103.95,37.611,-104.04
-27.9978,-108.079,-33.6503,-108.478,-33.8912,-107.569,-28.2085,-107.216
46.8835,74.6131,41.2372,75.2679,41.5351,76.327,47.2082,75.7602
46.1866,-103.738,40.5355,-103.527,40.7654,-102.524,46.4403,-102.645
61.9462,-104.318,56.2237,-104.008,56.5098,-102.658,61.9318,-102.616
-72.7682,80.4291,-78.4076,80.1812,-78.7161,84.0998,-73.0762,83.0869
79.2164,62.8379,73.6693,67.0941,74.0819,69.6759,79.6765,66.5675
85.861,55.3329,80.5193,71.7888,80.9654,76.08,86.4661,63.615
-39.4523,-112.596,-45.0863,-113.176,-45.3898,-112.124,-39.7276,-111.627
-82.3325,79.7334,-87.9397,87.7301,-87.9546,111.059,-82.5825,85.7957
74.5352,-97.7223,68.9032,-97.4169,69.1999,-95.3209,74.8403,-94.888
68.761,-108.424,63.1501,-107.989,63.4505,-106.361,69.0763,-106.398
30.4162,-100.765,24.7468,-100.676,24.8927,-99.8181,30.5912,-99.867
-53.128,79.6538,-58.7816,79.3228,-59.0907,80.8512,-53.4188,80.9882
6.2903,-107.578,0.61,-107.65,0.5962,-106.868,6.3114,-106.792
15.996,-99.8974,10.3149,-99.9098,10.3683,-99.106,16.0824,-99.078
-38.5821,81.2664,-44.2547,81.0585,-44.5135,82.1958,-38.816,82.3194
46.4068,-110.281,40.7639,-110.054,40.9943,-109.077,46.6607,-109.216
-43.4014,73.7946,-49.0662,73.5207,-49.3529,74.7526,-43.6648,74.9193
-12.5316,-104.603,-18.2047,-104.835,-18.3498,-104.015,-12.6432,-103.801
-13.3492,-100.319,-19.0234,-100.563,-19.1735,-99.7342,-13.466,-99.5096
45.0902,-100.485,39.4367,-100.293,39.6593,-99.3026,45.3366,-99.4093
76.0706,65.7817,70.5017,68.8177,70.9053,71.0186,76.5114,68.7411
24.2925,-111.676,18.6268,-111.614,18.7361,-110.814,24.4329,-110.85
-56.5766,-105.977,-62.1836,-107.168,-62.5564,-105.615,-56.923,-104.645
-33.174,-101.8,-38.8222,-102.285,-39.0905,-101.31,-33.4135,-100.885
75.5466,-102.074,69.9162,-101.716,70.219,-99.5159,75.8578,-99.0378
-72.6033,81.5095,-78.2433,81.2712,-78.5511,85.1434,-72.9102,84.1477
73.246,66.7803,67.0584,65.3704,67.402,67.3053,73.0578,69.8114
-3.3815,-103.395,-9.0621,-103.549,-9.1444,-102.752,-3.4292,-102.605
82.0318,58.8468,76.5185,65.1873,76.9396,68.2613,82.5188,63.736
-42.2148,71.5701,-47.8828,71.2931,-48.1698,72.5094,-42.4775,72.6853
-36.947,-111.471,-42.5849,-112.004,-42.8749,-110.992,-37.2085,-110.532
-10.0513,-112.061,-15.7222,-112.26,-15.8508,-111.462,-10.1456,-111.279
-54.128,-113.16,-59.7379,-114.194,-60.1067,-112.745,-54.4698,-111.902
-76.7211,-108.437,-82.2191,-115.37,-82.7177,-110.355,-77.1434,-105.321
-39.3132,76.9507,-44.9835,76.7266,-45.2493,77.874,-39.5543,78.0118
-58.1576,78.8386,-63.8054,78.4616,-64.1248,80.2411,-58.4614,80.3428
-49.1921,70.7022,-54.8512,70.3465,-55.1658,71.7498,-49.4857,71.9541
79.8572,-107.88,74.0243,-105.961,74.0956,-102.193,79.8436,-102.005
65.7683,-103.035,60.1345,-102.666,60.4285,-101.157,66.0781,-101.211
-45.0699,72.7529,-50.7329,72.4565,-51.028,73.7314,-45.3423,73.9098
69.6168,-103.481,64.3188,-101.663,63.9743,-99.9489,69.9686,-101.095
-50.0045,76.2271,-55.6604,75.9066,-55.9651,77.3144,-50.2893,77.4773
84.0856,-95.0584,78.4571,-96.2138,78.7307,-92.3477,84.3233,-87.3369
41.501,-110.367,35.8523,-110.18,36.0598,-109.26,41.7338,-109.38
35.3073,-100.682,29.6431,-100.56,29.8168,-99.6687,35.5085,-99.7392
43.883,71.5903,38.2304,72.1762,38.5167,73.2016,44.197,72.6905
88.6788,-88.028,86.6805,41.8341,86.1673,51.9858,88.524,-54.9801
-75.698,77.6844,-81.3347,77.6162,-81.6308,82.8771,-76.0026,80.8721
48.8389,-111.317,43.2006,-111.069,43.4403,-110.065,49.1013,-110.213
-86.0848,-160.156,-86.6337,123.127,-87.2016,135.618,-85.4982,-149.143
77.8731,65.7645,72.3162,69.4562,72.7257,71.8665,78.3258,69.1299
-67.3769,-103.915,-73.5086,-108.394,-73.1267,-105.627,-67.749,-102.001
69.4315,-99.4228,63.7983,-99.0688,64.0937,-97.3654,69.74,-97.2861
83.4475,-105.413,77.8233,-105.684,78.1136,-102.101,83.7196,-98.6297
85.3048,-97.2938,79.6788,-99.0913,79.9499,-94.745,85.5193,-87.4144
86.3411,77.4543,80.588,77.7557,80.533,84.1153,86.2615,93.6844
59.6495,-100.028,54.126,-99.7202,54.4021,-98.4343,59.9434,-98.5447
-37.7928,-108.313,-43.4304,-108.867,-43.7228,-107.842,-38.0575,-107.363
-47.5841,-108.646,-53.2054,-109.438,-53.5425,-108.215,-47.895,-107.549
0.1519,-109.798,-5.5257,-109.915,-5.5831,-109.135,0.1295,-109.021
-61.4045,-112.607,-67.0029,-114.078,-67.3879,-112.216,-61.7722,-111.082
-77.4718,77.0608,-83.1076,77.3089,-83.3865,83.9935,-77.7708,80.7085
76.3564,72.7457,70.7919,75.9748,71.1919,78.1987,76.7957,75.7526
41.3782,73.8268,-41.0943,75.5528,-41.3438,76.6391,41.678,74.89
1.3925,-107.637,-4.2873,-107.746,-4.3361,-106.962,1.3788,-106.854
-14.9547,-112.125,-20.6214,-112.37,-20.783,-111.552,-15.0827,-111.33
37.4833,78.266,-43.9811,79.9714,-44.2397,81.1036,37.7581,79.2762
40.5689,-107.128,34.9143,-106.951,35.1183,-106.024,40.7989,-106.134
50.1113,72.3064,44.4712,73.0368,44.7862,74.145,50.4523,73.5194
-65.955,76.1176,-71.5954,75.6618,-71.9241,78.1298,-66.2725,78.0453
2.2615,-110.846,-3.4157,-110.944,-3.4577,-110.169,2.2544,-110.072
-13.3539,-102.469,-19.0272,-102.712,-19.1775,-101.886,-13.471,-101.663
89.1491,-54.2111,85.5169,61.4121,86.0486,69.927,88.6345,-19.9414
79.88,60.3392,74.3387,64.894,74.7503,67.5549,80.341,64.2574
70.933,-109.374,65.3071,-108.918,65.6097,-107.169,71.2493,-107.141
-9.6507,-109.918,-15.3234,-110.117,-15.4493,-109.316,-9.7425,-109.133
57.7675,67.5263,52.1396,68.4994,52.4872,69.7554,58.1394,68.944
77.6204,67.1655,72.4322,66.1334,72.2111,68.8756,78.1469,70.8534
71.5042,74.672,65.917,76.8017,66.3019,78.618,71.9195,76.9533
-76.8201,-115.349,-82.3511,-126.699,-82.6941,-119.031,-77.1063,-110.867
-37.6396,-104.062,-43.2796,-104.623,-43.5705,-103.592,-37.9027,-103.106
61.7808,76.5506,56.1663,77.7454,56.5205,79.1112,62.16,78.1293
30.7758,-107.278,25.1104,-107.174,25.2604,-106.324,30.9553,-106.388
-49.2384,-112.928,-54.8571,-113.765,-55.2054,-112.49,-49.56,-111.794
-54.2543,-107.924,-59.8639,-108.98,-60.2277,-107.535,-54.592,-106.668
-67.1162,-102.829,-72.6965,-105.161,-73.1148,-102.747,-67.5002,-100.949
-63.6738,71.8418,-69.5341,74.6314,-69.136,77.0474,-64.0603,73.595
60.4395,66.2291,54.8231,67.3117,55.1796,68.635,60.8198,67.743
-64.0325,-108.71,-69.6208,-110.523,-70.0238,-108.473,-64.4055,-107.055
-63.5711,78.4417,-69.4021,81.2519,-68.9901,83.564,-63.9317,80.1747
-28.2823,-101.681,-33.9378,-102.093,-34.1795,-101.17,-28.494,-100.804
-47.6007,-103.362,-53.2246,-104.171,-53.5611,-102.936,-47.911,-102.254
-40.9238,-106.288,-46.5571,-106.911,-46.8639,-105.832,-41.2036,-105.296
45.2194,69.4086,39.5696,70.0174,39.864,71.0585,45.5409,70.5289
57.9811,65.4231,52.36,66.3896,52.708,67.6443,58.3526,66.8386
25.5252,-100.841,19.8511,-100.786,19.9672,-99.9529,25.6719,-99.9773
-16.443,-105.735,-22.1111,-106.004,-22.282,-105.17,-16.581,-104.924
-32.1129,-104.977,-37.7608,-105.441,-38.0237,-104.485,-32.3467,-104.077
75.0323,63.2383,69.4587,65.9298,69.8565,68.0076,75.4634,65.9787
-66.5184,72.8156,-72.1593,72.2927,-72.4966,74.8554,-66.8441,74.803
65.058,-100.822,59.2563,-100.686,59.4617,-99.1597,64.7,-99.1289
-62.9038,82.4514,-68.5497,82.0634,-68.8706,84.2134,-63.2118,84.1911
73.0265,68.0037,67.4434,70.3436,67.8385,72.2775,73.4532,70.4802
-13.3025,-107.828,-18.9731,-108.063,-19.1236,-107.246,-13.4195,-107.03
-42.9558,-102.105,-48.5887,-102.784,-48.9045,-101.655,-43.2451,-101.074
-75.1365,-109.836,-80.6611,-115.161,-81.1357,-110.922,-75.55,-107.046
60.8031,72.4441,55.1859,73.5785,55.542,74.9216,61.1842,73.9871
-67.7333,80.765,-73.3753,80.3773,-73.6962,83.1162,-68.0453,82.8446
-49.5647,68.5221,-55.2269,68.1453,-55.5494,69.578,-49.8656,69.7979
-3.567,-100.169,-9.2486,-100.327,-9.3322,-99.5257,-3.6161,-99.3745
-53.17,81.823,-58.8247,81.4977,-59.1321,83.0315,-53.4591,83.1611
-55.603,-106.958,-61.2105,-108.09,-61.5794,-106.585,-55.9457,-105.66
45.8614,67.2655,40.2136,67.8824,40.5118,68.9294,46.1862,68.3933
-44.4673,-107.469,-50.0944,-108.174,-50.4174,-107.026,-44.764,-106.426
-15.0862,-106.784,-20.7554,-107.038,-20.9175,-106.212,-15.2152,-105.979
-1.7548,-105.525,-7.4353,-105.662,-7.5064,-104.871,-1.7912,-104.739
-17.3492,-111.093,-23.0139,-111.363,-23.1909,-110.532,-17.4932,-110.288
76.5736,71.5706,71.0105,74.871,71.4126,77.1215,77.0158,74.6258
-8.7143,-101.321,-14.3921,-101.523,-14.5113,-100.711,-8.7995,-100.523
65.3043,65.6216,59.6994,66.9995,60.0709,68.4875,65.7004,67.3795
-73.7949,-110.426,-79.3351,-114.834,-79.7954,-111.084,-74.2027,-107.858
-81.1141,76.3999,-86.743,79.342,-86.9125,94.1975,-81.3894,81.6258
81.679,-112.729,75.8389,-109.752,75.934,-105.531,81.6838,-105.556
-62.0905,-105.385,-67.6847,-107.013,-68.0798,-105.117,-62.4566,-103.825
80.432,-100.892,74.8016,-100.814,75.0976,-97.903,80.7246,-96.2463
53.7484,-111.209,48.1153,-110.916,48.374,-109.826,54.0279,-109.986
-58.0363,82.0953,-63.686,81.7329,-64.0024,83.5131,-58.3369,83.6
-76.888,-107.491,-82.3817,-114.675,-82.8845,-109.557,-77.3119,-104.33
-61.4656,-106.37,-67.0639,-107.882,-67.4434,-106.021,-61.8294,-104.844
61.4968,69.2351,55.8813,70.392,56.2418,71.7558,61.8818,70.8072
38.7676,-106.069,33.1098,-105.908,33.3046,-104.995,38.989,-105.094
30.6738,-101.844,25.005,-101.753,25.153,-100.893,30.8509,-100.945
-42.71,-103.164,-48.3423,-103.837,-48.6573,-102.715,-42.9982,-102.139
1.3239,-100.099,-4.3595,-100.218,-4.4088,-99.4233,1.3093,-99.3056
-46.7954,-105.447,-52.4194,-106.225,-52.7524,-105.018,-47.1022,-104.36
50.3614,-106.932,44.7177,-106.676,44.9663,-105.619,50.6323,-105.762
84.0047,55.8807,78.5386,65.2611,78.9706,68.8557,84.5307,62.1809
35.5594,-99.595,29.8952,-99.4727,30.0697,-98.5791,35.7611,-98.6496
-39.572,-107.305,-45.2069,-107.897,-45.5075,-106.842,-39.8453,-106.332
-34.15,-110.342,-39.7924,-110.828,-40.0675,-109.855,-34.3962,-109.431
-80.5641,79.6342,-86.1923,82.2653,-86.3775,94.7796,-80.8356,84.5114
65.1043,-101.959,59.4698,-101.603,59.7613,-100.122,65.4117,-100.179
42.0292,74.86,36.7124,75.4058,36.9877,76.4117,42.3311,75.9307
